id,name,country,normal_month,tavg,tmin,tmax,prcp,wspd,pres,tsun,latitude,longitude
01373,Nesbyen-Todokk / Høva,NO,2,-5.1,-9.6,-0.7,22.0,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,3,0.1,-5.6,5.8,19.4,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,4,5.2,-1.2,11.6,25.6,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,5,9.8,3.0,16.6,46.6,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,6,14.3,7.7,20.9,63.2,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,7,16.6,10.4,22.9,77.4,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,8,15.0,9.2,20.7,81.8,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,9,10.6,5.1,16.2,48.7,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,10,4.1,0.1,8.1,46.0,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,11,-1.9,-4.9,1.1,39.1,,,,60.5669,9.1336
01373,Nesbyen-Todokk / Høva,NO,12,-6.3,-9.8,-2.8,34.0,,,,60.5669,9.1336
01403,Utsira Fyr,NO,1,3.4,1.9,5.0,133.0,,1008.2,,59.3,4.8833
01403,Utsira Fyr,NO,2,2.8,1.3,4.2,95.3,,1010.4,,59.3,4.8833
01403,Utsira Fyr,NO,3,3.6,2.0,5.3,88.1,,1012.3,,59.3,4.8833
01403,Utsira Fyr,NO,4,6.4,4.4,8.3,65.8,,1014.3,,59.3,4.8833
01403,Utsira Fyr,NO,5,9.3,7.3,11.3,56.0,,1014.4,,59.3,4.8833
01403,Utsira Fyr,NO,6,12.4,10.3,14.6,56.4,,1013.9,,59.3,4.8833
01403,Utsira Fyr,NO,7,14.9,13.0,16.8,94.4,,1012.3,,59.3,4.8833
01403,Utsira Fyr,NO,8,15.4,13.6,17.3,121.0,,1010.9,,59.3,4.8833
01403,Utsira Fyr,NO,9,13.0,11.4,14.7,126.1,,1012.8,,59.3,4.8833
01403,Utsira Fyr,NO,10,9.8,8.3,11.2,145.7,,1010.5,,59.3,4.8833
01403,Utsira Fyr,NO,11,6.7,5.2,8.2,158.1,,1008.4,,59.3,4.8833
01403,Utsira Fyr,NO,12,4.6,3.1,6.0,120.0,,1009.2,,59.3,4.8833
01465,Torungen Fyr,NO,1,1.7,-0.3,3.7,85.8,,1010.3,,58.4,8.8
01465,Torungen Fyr,NO,2,1.2,-0.8,3.2,62.0,,1011.8,,58.4,8.8
01465,Torungen Fyr,NO,3,2.9,0.6,5.2,55.7,,1013.2,,58.4,8.8
01465,Torungen Fyr,NO,4,6.1,3.7,8.4,47.3,,1015.2,,58.4,8.8
01465,Torungen Fyr,NO,5,10.6,8.0,13.1,56.9,,1013.6,,58.4,8.8
01465,Torungen Fyr,NO,6,14.4,11.8,17.0,67.9,,1012.9,,58.4,8.8
01465,Torungen Fyr,NO,7,16.8,14.2,19.3,59.3,,1011.5,,58.4,8.8
01465,Torungen Fyr,NO,8,16.7,14.2,19.2,87.7,,1011.2,,58.4,8.8
01465,Torungen Fyr,NO,9,13.6,11.4,15.9,90.2,,1013.3,,58.4,8.8
01465,Torungen Fyr,NO,10,9.2,7.2,11.3,112.6,,1012.2,,58.4,8.8
01465,Torungen Fyr,NO,11,5.5,3.6,7.4,112.7,,1010.3,,58.4,8.8
01465,Torungen Fyr,NO,12,2.6,0.7,4.6,94.8,,1010.1,,58.4,8.8
01492,Oslo-Blindern,NO,1,-2.3,-4.7,0.1,57.5,,1010.6,2888.0,59.95,10.7167
01492,Oslo-Blindern,NO,2,-1.8,-4.7,1.1,46.1,,1011.4,4591.8,59.95,10.7167
01492,Oslo-Blindern,NO,3,1.6,-2.1,5.3,40.4,,1011.8,8797.5,59.95,10.7167
01492,Oslo-Blindern,NO,4,6.6,2.1,11.0,48.3,,1013.3,10507.5,59.95,10.7167
01492,Oslo-Blindern,NO,5,11.8,6.8,16.7,60.1,,1013.8,14828.0,59.95,10.7167
01492,Oslo-Blindern,NO,6,15.6,10.8,20.4,79.6,,1011.6,13932.0,59.95,10.7167
01492,Oslo-Blindern,NO,7,18.0,13.4,22.7,86.1,,1010.8,14407.5,59.95,10.7167
01492,Oslo-Blindern,NO,8,16.9,12.5,21.3,103.9,,1011.2,11987.1,59.95,10.7167
01492,Oslo-Blindern,NO,9,12.5,8.6,16.4,80.8,,1012.6,9336.9,59.95,10.7167
01492,Oslo-Blindern,NO,10,6.7,3.8,9.6,94.1,,1011.6,5626.2,59.95,10.7167
01492,Oslo-Blindern,NO,11,2.2,-0.0,4.4,83.5,,1010.7,3226.2,59.95,10.7167
01492,Oslo-Blindern,NO,12,-1.4,-3.7,0.9,53.7,,1010.0,2241.4,59.95,10.7167
02080,Karesuando,SE,1,-13.4,-18.1,-8.6,28.7,,1004.1,540.0,68.45,22.5
02080,Karesuando,SE,2,-14.0,-19.0,-9.1,26.5,,1006.4,4173.3,68.45,22.5
02080,Karesuando,SE,3,-8.5,-13.6,-3.4,22.5,,1007.5,8923.3,68.45,22.5
02080,Karesuando,SE,4,-2.6,-7.5,2.2,24.7,,1011.8,12321.2,68.45,22.5
02080,Karesuando,SE,5,3.8,-0.4,8.0,39.0,,1013.4,13398.8,68.45,22.5
02080,Karesuando,SE,6,10.6,5.8,15.3,59.8,,1010.6,12956.5,68.45,22.5
02080,Karesuando,SE,7,13.8,9.0,18.5,74.1,,1010.7,13065.9,68.45,22.5
02080,Karesuando,SE,8,11.4,6.7,16.0,62.4,,1011.5,10163.3,68.45,22.5
02080,Karesuando,SE,9,6.0,2.0,9.9,44.3,,1010.3,7401.2,68.45,22.5
02080,Karesuando,SE,10,-1.2,-4.2,1.9,42.0,,1007.8,4263.5,68.45,22.5
02080,Karesuando,SE,11,-8.6,-12.4,-4.7,32.6,,1008.1,1228.2,68.45,22.5
02080,Karesuando,SE,12,-11.6,-16.0,-7.1,33.6,,1004.7,0.0,68.45,22.5
02120,Kvikkjokk,SE,1,-12.5,-17.1,-7.8,46.9,,1006.4,,66.95,17.75
02120,Kvikkjokk,SE,2,-12.5,-17.6,-7.4,37.7,,1008.0,,66.95,17.75
02120,Kvikkjokk,SE,3,-7.4,-13.1,-1.8,29.5,,1009.4,,66.95,17.75
02120,Kvikkjokk,SE,4,-0.7,-5.6,4.2,29.0,,1013.3,,66.95,17.75
02120,Kvikkjokk,SE,5,4.8,0.1,9.6,39.8,,1013.5,,66.95,17.75
02120,Kvikkjokk,SE,6,10.8,5.7,15.8,63.6,,1011.2,,66.95,17.75
02120,Kvikkjokk,SE,7,13.7,8.8,18.6,97.8,,1010.7,,66.95,17.75
02120,Kvikkjokk,SE,8,11.9,7.2,16.6,72.4,,1011.4,,66.95,17.75
02120,Kvikkjokk,SE,9,6.8,2.7,10.8,55.7,,1009.2,,66.95,17.75
02120,Kvikkjokk,SE,10,0.0,-3.2,3.3,45.7,,1009.1,,66.95,17.75
02120,Kvikkjokk,SE,11,-6.6,-9.8,-3.3,47.5,,1009.4,,66.95,17.75
02120,Kvikkjokk,SE,12,-10.6,-14.7,-6.4,48.9,,1007.3,,66.95,17.75
02128,Gunnarn Airport,SE,1,-9.8,-14.4,-5.3,39.5,,1007.5,,64.9667,17.7
02128,Gunnarn Airport,SE,2,-10.2,-15.3,-5.1,28.1,,1009.0,,64.9667,17.7
02128,Gunnarn Airport,SE,3,-5.2,-10.9,0.4,27.8,,1010.3,,64.9667,17.7
02128,Gunnarn Airport,SE,4,1.0,-3.9,6.0,28.5,,1013.6,,64.9667,17.7
02128,Gunnarn Airport,SE,5,6.6,1.3,12.0,42.5,,1013.7,,64.9667,17.7
02128,Gunnarn Airport,SE,6,12.1,6.9,17.4,71.9,,1011.3,,64.9667,17.7
02128,Gunnarn Airport,SE,7,14.9,9.9,19.9,92.0,,1010.9,,64.9667,17.7
02128,Gunnarn Airport,SE,8,13.0,8.3,17.8,83.0,,1011.7,,64.9667,17.7
